Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MMA Merchandising With Channel Wise Data Verification,,,2018-11-16 18:32:12,2018-11-16 19:01:47,29m - 35.414s,PASSED
,,,,,,
Test Cases/LaunchingApp/LaunchApp,,,2018-11-16 18:32:12,2018-11-16 18:32:39,26.934s,PASSED
startApplication,,launch application,2018-11-16 18:32:13,2018-11-16 18:32:34,20.794s,PASSED
delay,,delay of 5 seconds,2018-11-16 18:32:34,2018-11-16 18:32:39,5.036s,PASSED
,,,,,,
Test Cases/SliderOptions/VisitSliderOptions,,,2018-11-16 18:32:39,2018-11-16 18:33:48,1m - 9.003s,PASSED
verifyElementText,,,2018-11-16 18:32:40,2018-11-16 18:32:43,3.323s,PASSED
swipe,,,2018-11-16 18:32:43,2018-11-16 18:32:44,0.857s,PASSED
swipe,,,2018-11-16 18:32:44,2018-11-16 18:32:45,0.771s,PASSED
verifyElementExist,,,2018-11-16 18:32:45,2018-11-16 18:32:45,0.274s,PASSED
com.ct.qa.keywords.SliderOptionsKeywords.valideSliderOptions,,,2018-11-16 18:32:45,2018-11-16 18:33:09,23.813s,PASSED
swipe,,,2018-11-16 18:33:09,2018-11-16 18:33:09,0.793s,PASSED
swipe,,,2018-11-16 18:33:09,2018-11-16 18:33:10,0.734s,PASSED
com.ct.qa.keywords.SliderOptionsKeywords.findSliderOption,,,2018-11-16 18:33:10,2018-11-16 18:33:17,6.631s,PASSED
com.ct.qa.keywords.SliderOptionsKeywords.findSliderOption,,,2018-11-16 18:33:17,2018-11-16 18:33:30,12.872s,PASSED
com.ct.qa.keywords.SliderOptionsKeywords.findSliderOption,,,2018-11-16 18:33:30,2018-11-16 18:33:47,17.016s,PASSED
swipe,,,2018-11-16 18:33:47,2018-11-16 18:33:48,0.806s,PASSED
swipe,,,2018-11-16 18:33:48,2018-11-16 18:33:48,0.755s,PASSED
com.ct.qa.keywords.SliderOptionsKeywords.displayMissingSliderOptionsInReport,,,2018-11-16 18:33:48,2018-11-16 18:33:48,0.007s,PASSED
,,,,,,
Test Cases/DistributionPoint/VisitDistributionPoint,,,2018-11-16 18:33:48,2018-11-16 18:34:26,37.472s,PASSED
verifyElementText,,validate dashboard screen appearance,2018-11-16 18:33:49,2018-11-16 18:33:49,0.167s,PASSED
tap,,tap on start your day button,2018-11-16 18:33:49,2018-11-16 18:33:51,1.607s,PASSED
delay,,delay of 15 seconds for check in through map screen,2018-11-16 18:33:51,2018-11-16 18:34:06,15.004s,PASSED
verifyElementExist,,validate map screen appearance,2018-11-16 18:34:06,2018-11-16 18:34:07,1.149s,PASSED
tap,,tap on check in button through map,2018-11-16 18:34:07,2018-11-16 18:34:07,0.477s,PASSED
verifyElementExist,,validate confirm popup appearance,2018-11-16 18:34:07,2018-11-16 18:34:08,1.091s,PASSED
tap,,tap on confirm popup no button,2018-11-16 18:34:08,2018-11-16 18:34:09,0.977s,PASSED
verifyElementText,,validate channel summary detail screen appearance,2018-11-16 18:34:09,2018-11-16 18:34:10,0.749s,PASSED
tap,,tap on next button to further proceed,2018-11-16 18:34:10,2018-11-16 18:34:11,1.012s,PASSED
verifyElementText,,validate distribution point screen appearance,2018-11-16 18:34:11,2018-11-16 18:34:13,1.708s,PASSED
com.ct.qa.keywords.DistributionPointKeywords.visitdistributionPoint,,enter quantity of products on distribution point,2018-11-16 18:34:13,2018-11-16 18:34:24,11.478s,PASSED
tap,,tap on submit button after enter the quantity of products on distribution point,2018-11-16 18:34:24,2018-11-16 18:34:25,1.000s,PASSED
verifyElementText,,validate dashboard screen appearance,2018-11-16 18:34:25,2018-11-16 18:34:26,0.628s,PASSED
,,,,,,
Test Cases/VisitShopScenarios/VisitShopsWithDataVerification,,,2018-11-16 18:34:26,2018-11-16 19:01:47,27m - 21.141s,PASSED
verifyElementText,,validate dashboard screen appearance,2018-11-16 18:34:26,2018-11-16 18:34:27,0.605s,PASSED
tap,,tap on start your day button,2018-11-16 18:34:27,2018-11-16 18:34:27,0.663s,PASSED
verifyElementText,,Validate shops list screen appearance,2018-11-16 18:34:27,2018-11-16 18:34:29,1.476s,PASSED
com.ct.qa.keywords.ShopVisitingScenariosKeywords.visitShopWith_DataVerification,,select shops from shops list for data verification,2018-11-16 18:34:29,2018-11-16 19:01:47,27m - 18.124s,PASSED
